Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmQbD1htmPFKvWP3MR1W4whY29h8ftJ3i85K2ziyG5MkK8	ABC #1		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmRit6nGSLgcFFzFy4Si7HArNFPJ7uWCksjZaQRc2QK4m8/metadata1.json
https://ipfs.infura.io/ipfs/Qmbwd9rreZqpG98UtPEXQK2QfHzi9Ym7LZKKg2zEUEoW7W	ABC #2		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmTwn39Hsd5BL8eyXPjA12Hf8PDzdhQRVbqph3sdi8rzHb/metadata2.json
https://ipfs.infura.io/ipfs/QmXxkeJ9vbgveZzUWPTsrdEmUqx5pZyfY9NXQejaykACtM	ABC #3		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmXSQsK9zw95rNxgbSB9ywkUF6byTq1NDZJiiEGG7nu3wQ/metadata3.json
https://ipfs.infura.io/ipfs/QmeHiyz8caDYv2SGFp7u6M4bANMZg8W5jW8fYNt7WnBsXH	ABC #4		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmcZuGW24jQCiCSQRPpsPwfyLTSdQDV1H7iBdzAdNKnWdR/metadata4.json
https://ipfs.infura.io/ipfs/QmetGcLxcLGjg5Nez5sAZD4Y9UymzUYBpbmTm3QaiJd7Jw	ABC #5		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVCSQz18zwigyutt2RE5RFztBVYKLKrg1SzeXi6WDUmUW/metadata5.json
https://ipfs.infura.io/ipfs/QmVvm16Epgw7XnW6SV62H3eddGgtJgYb2ZrSaYb28ni3r5	ABC #6		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmS8yz3kaWvRWx2jaX3HE3pH9Esif2AA1tjHMw4v225P9R/metadata6.json
https://ipfs.infura.io/ipfs/Qmb9DLsukmvyicqdMGamFvZnxBHdrTdWSZQ91GZmGfR6wQ	ABC #7		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmeiTxb8nLimYiey4fYUbQMXgEacc2S3nRc7xaaD92BAXL/metadata7.json
https://ipfs.infura.io/ipfs/QmQAAdPygAdxMrV9RioBLpbP2yUetifwmiJinw3jZmwfKj	ABC #8		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmbqob6869AR7yLugo5wggDXSq7MRdZ7AFU7pWppFegtNB/metadata8.json
https://ipfs.infura.io/ipfs/QmbpVkL6rjSLWtzYgnxPEm9UVfDWGk7PJJPGBYD47LsjJm	ABC #9		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYu4U2FtZHQG9gUEzMBNVCAKNGW4FdVUdHrR4bxJwxNac/metadata9.json
https://ipfs.infura.io/ipfs/Qmau2HLrnEfu94aFPAbM8AHDdBuDj6gZgrDNSPeZJKybUr	ABC #10		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVeaKvujfGN4y5EnHPxivTYrDuAXVzRTeXZ3QC4s7Dzki/metadata10.json
https://ipfs.infura.io/ipfs/QmZngbWms9NHXyQrfyi7i1AvdZTjpaJiWjmmfBRFkk4AkR	ABC #11		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmdiB1VNbNac9UqPTpFtcr4oiZw6k7coQKo22i6VKATz5x/metadata11.json
https://ipfs.infura.io/ipfs/QmUciuFmCKpSVad7emh81iZPLwPC7EHNpo6CER8KRAZhtL	ABC #12		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qme1Sf8vRC7HyYNcAEhokZUsn2yqZnJUqGcDmz2kxnEEPo/metadata12.json
https://ipfs.infura.io/ipfs/QmfVRaVF25dVX7V4zxSwbGUErh9hYsXz81eJEiS4TPoenj	ABC #13		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmToDdfzMsgvs6Vr9gBssapS9byXNdSh9uPKyv17UbhCB8/metadata13.json
https://ipfs.infura.io/ipfs/QmPbHsxYUhiyFWWy3nRiiDq9m43RTzYQv8UfCZRHqbF6BD	ABC #14		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmezXeXqJBE4HLo7sRrfP5vNaWoWY9mxg7WvYWZGnMSFKv/metadata14.json
https://ipfs.infura.io/ipfs/QmPVvuZKDohZVxYynv7DNPq428CJ9sJRtJxyLx9mW3X6mZ	ABC #15		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWE4rpk4eYSYunD2Yvf3deeMtz61vXgHvoCx2MpSjDapL/metadata15.json
https://ipfs.infura.io/ipfs/QmdVbfczBb4Kt2bwxx5BPeDBV62hprvufJgCNcU2vKVJ9C	ABC #16		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmXWNTdLDDWRgPDhhDTtVrEBxWvo8WXhBZKwuhrXehTC2x/metadata16.json
